Edible	Poisonous
6.902406339862051e-07	1.3097298828936196e-11
2.272269768672267e-12	5.348806424409001e-07
1.37485025211604e-12	6.74945382118624e-06
5.184482458459218e-07	1.9708905858741073e-14
2.272269768672267e-12	5.602304359215112e-07
1.37485025211604e-12	1.762543015186007e-06
5.191491031312673e-13	1.4496525645907e-09
6.767503412360091e-21	1.0728403561115707e-07
8.277729275558838e-06	3.167728745102976e-13
1.2693284263077233e-05	4.2424248777984657e-11
3.4821248949463352e-06	1.4910722001918457e-09
6.223656241270728e-11	8.370951493749167e-14
3.746160837649709e-09	4.286142619166313e-19
1.041184530275643e-06	4.929373536022883e-12
1.925636127218731e-08	1.2931283973517734e-11
2.4165306775033133e-07	3.596043700312228e-11
6.793001800125721e-07	9.743012643453201e-14
2.184819289203147e-12	1.3913030937306026e-06
4.307735720021112e-09	1.5250140618755927e-16
6.725550700338476e-07	8.047110023558045e-11
6.947581191518112e-07	1.683807394338566e-10
1.7262803652322367e-10	1.0919262139319901e-16
6.551093923493503e-14	4.120018220103677e-07
5.029374174765043e-06	1.4642073818640385e-10
1.4672946807753812e-10	8.327835805389738e-08
5.65848643240558e-06	3.489558941865772e-11
3.1281632353937718e-06	8.86747089112929e-13
3.1562175316437217e-07	9.323375666972389e-14
6.720652749139407e-07	2.0889463009229215e-16
5.164577044998117e-11	6.811914164380402e-12
6.389338854911432e-10	7.941169123148233e-06
2.390662670435908e-20	4.071545982421124e-07
2.3052621034535764e-06	1.8447971611636417e-13
1.2103933677369895e-05	8.754911591791727e-10
7.563938183673411e-06	5.237371470344749e-13
8.151620518101118e-20	2.2856176871865336e-07
5.054350807948103e-07	1.0239925205171051e-13
2.628676115944164e-19	4.4495728213659954e-07
1.3256827403120954e-13	1.8010388520697169e-06
2.3609069026906438e-12	3.120935126874608e-06
1.348675832280875e-12	1.6742691403131047e-06
9.36076963783137e-08	2.1923731373564514e-13
7.547346167634708e-15	5.45632822973998e-07
4.879851739494344e-06	1.4270607881222622e-11
3.1480838287010487e-16	3.845130572956195e-05
2.0911843425165095e-10	4.018805165451217e-12
1.2754465841843617e-12	6.402146545365955e-13
1.7872974314201363e-07	4.388341462063819e-11
1.6557248261130602e-17	1.2851622352321037e-06
1.0383173480103456e-06	1.144395178927235e-14
6.651189877646164e-11	4.968326970622069e-06
